number_of_reviews,minimum_nights,calculated_host_listings_count,room_type,price
1.0,0.0,0.006211180124223604,0.0,300
0.8571428571428572,0.5714285714285714,0.009316770186335404,0.0,215
0.5714285714285714,0.0,0.037267080745341616,0.5,137
0.14285714285714285,0.0,0.0031055900621118036,0.0,99
0.2857142857142857,0.5714285714285714,0.009316770186335404,0.0,215
0.5714285714285714,0.14285714285714285,1.0,0.5,228
0.0,0.0,0.04037267080745341,0.0,135
0.7142857142857142,0.5714285714285714,0.006211180124223604,0.0,63
0.14285714285714285,0.5714285714285714,0.0,0.0,45
0.2857142857142857,0.0,0.0031055900621118036,0.0,50
0.0,0.14285714285714285,0.012422360248447204,0.0,69
0.42857142857142855,0.0,0.0031055900621118036,0.5,170
0.14285714285714285,0.2857142857142857,0.009316770186335404,0.0,75
0.5714285714285714,0.0,0.0,0.0,90
0.42857142857142855,0.0,0.037267080745341616,0.5,153
0.14285714285714285,0.0,0.015527950310559004,0.0,72
0.14285714285714285,0.0,0.009316770186335404,1.0,25
0.0,0.0,0.0,0.5,189
0.0,0.0,0.006211180124223604,0.0,100
0.42857142857142855,0.0,0.006211180124223604,1.0,60
1.0,0.0,0.0,0.0,59
0.42857142857142855,0.0,0.0,0.0,150
0.8571428571428572,0.0,0.0,0.0,55
0.8571428571428572,0.14285714285714285,1.0,0.5,241
0.8571428571428572,0.14285714285714285,0.02484472049689441,0.5,260
0.2857142857142857,0.14285714285714285,0.0,0.0,45
0.7142857142857142,0.0,0.0,0.0,45
0.42857142857142855,0.0,0.0,0.0,80
0.0,0.0,0.006211180124223604,0.0,120
0.14285714285714285,0.0,0.0,1.0,31
0.0,0.0,0.0,0.0,225
0.2857142857142857,0.0,0.08695652173913043,0.5,225
0.0,0.5714285714285714,0.02173913043478261,0.0,35
1.0,0.0,0.037267080745341616,0.5,163
0.14285714285714285,0.0,0.04658385093167701,0.0,199
0.0,0.2857142857142857,0.02484472049689441,0.0,54
0.42857142857142855,0.8571428571428572,0.02484472049689441,0.0,169
0.8571428571428572,0.8571428571428572,0.02484472049689441,0.0,35
0.2857142857142857,0.0,0.037267080745341616,0.5,120
0.8571428571428572,0.0,0.037267080745341616,0.5,153
0.8571428571428572,0.14285714285714285,0.0,0.0,60
0.14285714285714285,0.0,0.006211180124223604,1.0,77
0.0,0.8571428571428572,0.012422360248447204,0.0,40
0.42857142857142855,0.5714285714285714,0.015527950310559004,0.0,55
0.2857142857142857,0.14285714285714285,1.0,0.5,212
0.42857142857142855,0.8571428571428572,0.13043478260869565,0.0,75
1.0,0.8571428571428572,0.13043478260869565,0.0,150
0.0,0.8571428571428572,0.012422360248447204,0.0,80
0.0,0.0,0.012422360248447204,0.0,100
0.14285714285714285,0.42857142857142855,0.0,0.0,55
0.14285714285714285,0.0,0.0031055900621118036,0.0,95
0.7142857142857142,0.0,0.006211180124223604,0.0,49
0.5714285714285714,0.14285714285714285,0.0,0.0,50
0.14285714285714285,0.0,0.015527950310559004,0.0,50
0.14285714285714285,0.0,0.08695652173913043,0.5,225
0.0,0.0,0.006211180124223604,0.0,79
0.8571428571428572,0.0,0.037267080745341616,0.0,129
0.42857142857142855,0.14285714285714285,0.0,0.0,87
0.42857142857142855,0.14285714285714285,0.006211180124223604,0.0,50
0.8571428571428572,0.14285714285714285,1.0,0.5,229
0.2857142857142857,0.2857142857142857,0.0,0.0,60
0.14285714285714285,0.8571428571428572,0.02173913043478261,1.0,20
